dateff,mktrf,smb,hml,rf,umd
30-11-05,0.0361,0.0091,-0.0118,0.0031,0.0025
30-12-05,-0.0025,-0.0046,0.0044,0.0032,0.0077
31-01-06,0.0304,0.0542,0.0112,0.0035,0.0268
28-02-06,-0.003,-0.0038,-0.0025,0.0034,-0.0184
31-03-06,0.0146,0.0355,0.0061,0.0037,0.0126
28-04-06,0.0073,-0.0134,0.0259,0.0036,0.0061
31-05-06,-0.0357,-0.0304,0.0255,0.0043,-0.0365
30-06-06,-0.0035,-0.0035,0.0087,0.004,0.0149
31-07-06,-0.0078,-0.0408,0.0294,0.004,-0.0221
31-08-06,0.0203,0.009,-0.0172,0.0042,-0.0347
29-09-06,0.0184,-0.0137,0.0005,0.0041,-0.0094
31-10-06,0.0323,0.0173,-0.0004,0.0041,-0.0024
30-11-06,0.0171,0.0086,0.0007,0.0042,-0.0101
29-12-06,0.0087,-0.011,0.0316,0.004,0.0084
31-01-07,0.014,0.001,-0.0011,0.0044,0.0021
28-02-07,-0.0196,0.0132,-0.0009,0.0038,-0.0135
30-03-07,0.0068,-0.0006,-0.0022,0.0043,0.0247
30-04-07,0.0349,-0.0206,-0.0115,0.0044,-0.0016
31-05-07,0.0324,0.0003,-0.0005,0.0041,-0.0026
29-06-07,-0.0196,0.0077,-0.0113,0.004,0.0038
31-07-07,-0.0373,-0.0251,-0.0334,0.004,0.028
31-08-07,0.0092,-0.0013,-0.0224,0.0042,0.0011
28-09-07,0.0322,-0.0229,-0.0187,0.0032,0.0459
31-10-07,0.018,0.0022,-0.0259,0.0032,0.0496
30-11-07,-0.0483,-0.0263,-0.0118,0.0034,0.0093
31-12-07,-0.0087,0.002,-0.0052,0.0027,0.0652
31-01-08,-0.0636,-0.0089,0.0365,0.0021,-0.0789
29-02-08,-0.0309,-0.0023,-0.0095,0.0013,0.0614
31-03-08,-0.0093,0.0094,-0.0015,0.0017,0.041
30-04-08,0.046,-0.0164,-0.0096,0.0018,-0.002
30-05-08,0.0186,0.0322,-0.0138,0.0018,0.0321
30-06-08,-0.0844,0.0127,-0.0243,0.0017,0.1254
31-07-08,-0.0077,0.0247,0.0581,0.0015,-0.0515
29-08-08,0.0153,0.0361,0.0156,0.0013,-0.0405
30-09-08,-0.0924,-0.0113,0.0633,0.0015,0.0035
31-10-08,-0.1723,-0.0234,-0.029,0.0008,0.0779
28-11-08,-0.0786,-0.0299,-0.0594,0.0003,0.0711
31-12-08,0.0174,0.0359,-0.0024,0,-0.0507
30-01-09,-0.0812,-0.0001,-0.111,0,-0.0183
27-02-09,-0.101,0.0016,-0.0725,0.0001,0.0418
