date,permno,permco,shrcd,ret,vol,shrout,prc,navm,dscnt
2002-02-28,77692.0,29500.0,14.0,0.00730298645794392,2624.0,11542.0,12.6999998092651,13.16,0.00644468313641251
2002-03-31,77804.0,29512.0,14.0,-0.0154493898153305,3029.0,11369.0,12.72499990463255,,
2002-04-30,77804.0,29512.0,14.0,0.01960782520473,2932.0,11257.0,12.9499998092651,13.48,0.0319999694824219
2002-05-31,77807.5,29518.0,14.0,0.0161920879036188,2775.0,11362.0,13.0200004577637,13.7,0.0160857704305777
2002-06-30,77816.0,29523.0,14.0,-0.00029736239230260253,2855.0,11426.0,12.9799995422363,,
2002-07-31,77817.0,29529.0,14.0,-0.00812778994441032,3405.0,11396.0,12.4799995422363,13.4,0.0298507620841512
2002-08-31,77843.5,29532.5,14.0,0.0166949201375246,2737.0,11445.0,12.9700002670288,,
2002-09-30,77905.0,29537.5,14.0,0.005301743512973189,2812.0,11401.5,12.9700002670288,12.6,-0.00514799778372477
2002-10-31,77999.0,29563.0,14.0,-0.0358974561095238,3591.0,11362.0,12.6099996566772,12.78,0.0376568904647933
2002-11-30,77999.0,29564.0,14.0,0.0117332963272929,2855.0,11269.0,12.5600004196167,,
2002-12-31,77999.0,29564.0,14.0,0.0191317033022642,3507.0,11269.0,13.0500001907349,13.47,0.0465573795506212
2003-01-31,77999.0,29564.0,14.0,0.00777535885572433,3255.0,11073.0,13.1199998855591,13.76,0.0391517346679289
2003-02-28,78011.5,29565.0,14.0,0.0112899923697114,2576.0,11073.0,13.1999998092651,13.81,0.0201638191093343
2003-03-31,78012.0,29571.0,14.0,0.00899545662105083,3015.0,11362.0,13.3500003814697,14.22,0.044128666195124
2003-04-30,78040.0,29601.0,14.0,0.0242857243865728,3143.0,11396.0,13.6099996566772,14.27,0.0293921354060661
2003-05-31,78057.0,29613.0,14.0,0.0374509803950787,3657.0,11455.0,14.1300001144409,,
2003-06-30,78061.0,29695.0,14.0,0.0112267807126045,4232.0,11509.0,14.3100004196167,14.27,-0.00862639742967063
2003-07-31,78086.0,29697.0,14.0,-0.0477971136569977,4204.0,11610.0,13.53999996185305,14.31,0.0524822938526776
2003-08-31,78107.0,29701.0,14.0,0.00249827466905117,3839.0,11610.0,13.3999996185303,,
2003-09-30,78109.0,29701.0,14.0,0.0265399534255266,3547.0,11626.0,13.8599996566772,14.42,0.0451527148445606
2003-10-31,78798.0,29702.0,14.0,0.0169807877391577,4116.0,11626.0,13.8999996185303,14.4,0.0346179142409412
2003-11-30,78810.0,29703.0,14.0,0.0162105672061443,3580.0,11681.0,13.8400001525879,,
2003-12-31,78852.0,29705.0,14.0,0.0256898514926434,4807.0,11681.0,14.2399997711182,14.9,0.03125
2004-01-31,78855.0,29728.0,14.0,0.0197101309895515,5050.0,11712.0,14.6499996185303,,
2004-02-29,78936.0,29740.0,14.0,0.0127272168174386,4343.0,12003.5,14.75,,
2004-03-31,78943.0,29749.0,14.0,0.007433179300278425,4934.0,12047.0,14.8400001525879,14.62,-0.00974930362116996
2004-04-30,78944.0,29760.0,14.0,-0.0933788120746613,6295.5,12289.0,13.3100004196167,14.535,0.09623788889067195
2004-05-31,78945.0,29760.0,14.0,0.00218982039950788,5260.0,12521.0,13.2600002288818,,
2004-06-30,79034.0,29761.5,14.0,0.000418805022491142,4119.0,12623.0,13.1499996185303,14.44,0.0987408627256642
2004-07-31,79048.0,29764.0,14.0,0.03573189862072465,3845.0,12756.0,13.5500001907349,,
2004-08-31,79048.0,29772.0,14.0,0.0377286598086357,4209.0,12850.0,14.065000057220502,14.7,0.057397976213572
2004-09-30,79051.0,29778.0,14.0,0.0128943929448724,3940.0,12868.0,14.1000003814697,15.0,0.0637619107739958
2004-10-31,79052.0,29780.5,14.0,0.0181237049400806,4044.5,12876.0,14.289999961853,,
2004-11-30,79132.0,29783.5,14.0,-0.00358093064278364,4816.0,12927.5,14.1499996185303,14.87,0.0578616640102939
2004-12-31,79132.0,29784.0,14.0,0.0179745648056269,5801.0,12891.0,14.1199998855591,15.04,0.0609756330164467
2005-01-31,79138.0,29789.0,14.0,0.014100338332355,4901.0,12883.5,14.4300003051758,15.03,0.0550098031973948
2005-02-28,79138.0,29790.0,14.0,0.008682620245963335,4886.0,12893.0,14.6000003814697,14.69,0.0298387312120007
2005-03-31,79221.0,29809.0,14.0,-0.040514012798666954,5726.0,12966.0,13.8999996185303,14.74,0.0782556567995351
2005-04-30,79225.0,29813.0,14.0,0.0167043730616569,4289.0,12980.0,14.0900001525879,,
2005-05-31,79229.0,29836.0,14.0,0.025546153075993047,4216.0,13274.0,14.5200004577637,14.99,0.0595567919871153
2005-06-30,79236.0,29837.0,14.0,0.0185567233711481,4738.5,13335.5,14.6999998092651,15.15,0.0504731740861285
2005-07-31,79236.0,29838.0,14.0,0.0159025881439447,4668.0,13392.0,14.825000286102298,,
2005-08-31,79242.0,29858.0,14.0,0.00210731406696141,5153.0,13842.0,14.7200002670288,15.31,0.0535597798093949
2005-09-30,79326.0,29861.0,14.0,-0.00440915348008275,4955.0,14033.0,14.5299997329712,15.21,0.0624999834431542
2005-10-31,79329.0,29865.0,14.0,-0.0254350602626801,4909.0,14387.0,14.1499996185303,15.05,0.07427311865807715
2005-11-30,79340.0,29872.5,14.0,0.00240718107670546,5129.0,14493.0,14.0200004577637,14.87,0.07423121345590561
2005-12-31,79341.0,29873.0,14.0,0.0172067787498236,7112.0,14791.0,14.0500001907349,,
2006-01-31,79358.0,29889.5,14.0,0.0340993218123913,6049.0,15047.0,14.4300003051758,14.98,0.0524091261076101
2006-02-28,79359.0,29901.0,14.0,0.0131794400513172,5484.0,14986.0,14.5799999237061,15.11,0.041733277282258646
2006-03-31,79360.0,29901.0,14.0,-0.00491800764575601,6182.0,15047.0,14.3199996948242,14.91,0.053297240990395
2006-04-30,79360.0,29901.0,14.0,-0.00418119272217155,4867.0,15078.5,14.210000038147,,
2006-05-31,79446.5,29903.0,14.0,-0.00717038987204432,5667.0,15110.0,13.9399995803833,14.77,0.0667129739280208
2006-06-30,79453.0,29910.0,14.0,-0.00536339450627565,5484.0,15120.0,13.6999998092651,14.62,0.0663058057689537
2006-07-31,79454.0,29919.0,14.0,0.0237191934138536,4614.0,15190.0,14.0799999237061,14.72,0.056583810016505
2006-08-31,79456.0,29919.0,14.0,0.02786051481962205,5887.0,15290.0,14.3999996185303,15.01,0.0510812418932192
2006-09-30,79456.0,29919.0,14.0,0.0132977869361639,5624.0,15250.0,14.5100002288818,,
2006-10-31,79461.0,29922.0,14.0,0.0132505055516958,6025.0,15372.0,14.6000003814697,15.19,0.0563594559540934
2006-11-30,79560.0,29923.0,14.0,0.0173610989004374,6217.5,15483.0,14.6800003051758,15.26,0.0499959226514472
