Dates	Open Interest (All)	Noncommercial Positions-Long (All)	Noncommercial Positions-Short (All)	Noncommercial Positions-Spreading (All)	Commercial Positions-Long (All)	Commercial Positions-Short (All)	 Total Reportable Positions-Long (All)	Total Reportable Positions-Short (All)	Nonreportable Positions-Long (All)	Nonreportable Positions-Short (All)			NCMNET	COMNET	TOTNET	NONNET
14-05-96	204288	11809	19608	702	145356	136379	157867	156689	46421	47599			-7799	8977	1178	-1178
21-05-96	200175	9383	18349	787	143931	131414	154101	150550	46074	49625			-8966	12517	3551	-3551
28-05-96	200147	12344	17280	908	139786	136743	153038	154931	47109	45216			-4936	3043	-1893	1893
04-06-96	196616	9372	17159	703	136663	132675	146738	150537	49878	46079			-7787	3988	-3799	3799
11-06-96	204532	10388	16874	1345	139092	134592	150825	152811	53707	51721			-6486	4500	-1986	1986
18-06-96	228439	12363	16199	3715	158562	148390	174640	168304	53799	60135			-3836	10172	6336	-6336
25-06-96	175422	6674	12525	279	132043	124225	138996	137029	36426	38393			-5851	7818	1967	-1967
02-07-96	179168	6263	12486	279	132354	127132	138896	139897	40272	39271			-6223	5222	-1001	1001
09-07-96	179560	7463	12669	279	128697	126708	136439	139656	43121	39904			-5206	1989	-3217	3217
16-07-96	187270	6991	13800	939	131937	122529	139867	137268	47403	50002			-6809	9408	2599	-2599
23-07-96	182895	5465	17733	322	134282	115936	140069	133991	42826	48904			-12268	18346	6078	-6078
30-07-96	189942	6681	17723	554	138429	123213	145664	141490	44278	48452			-11042	15216	4174	-4174
06-08-96	189955	7201	14845	1354	136891	128013	145446	144212	44509	45743			-7644	8878	1234	-1234
13-08-96	193018	6704	15408	855	140220	129963	147779	146226	45239	46792			-8704	10257	1553	-1553
20-08-96	186971	5592	14029	1285	135588	128048	142465	143362	44506	43609			-8437	7540	-897	897
27-08-96	191408	4900	15038	1920	137034	129749	143854	146707	47554	44701			-10138	7285	-2853	2853
03-09-96	202360	6402	16764	791	142544	132479	149737	150034	52623	52326			-10362	10065	-297	297
10-09-96	212396	4571	16634	899	149961	134055	155431	151588	56965	60808			-12063	15906	3843	-3843
17-09-96	228977	6395	18544	2208	159525	139161	168128	159913	60849	69064			-12149	20364	8215	-8215
24-09-96	182137	6866	16097	275	135125	120996	142266	137368	39871	44769			-9231	14129	4898	-4898
01-10-96	182868	6566	16865	492	133749	119451	140807	136808	42061	46060			-10299	14298	3999	-3999
08-10-96	185867	6135	17724	695	136660	122213	143490	140632	42377	45235			-11589	14447	2858	-2858
15-10-96	188668	6009	19157	275	138801	122717	145085	142149	43583	46519			-13148	16084	2936	-2936
22-10-96	188209	6315	17601	1141	137174	122444	144630	141186	43579	47023			-11286	14730	3444	-3444
29-10-96	187526	5698	21665	690	135573	116158	141961	138513	45565	49013			-15967	19415	3448	-3448
05-11-96	192827	8050	16697	1732	138358	127272	148140	145701	44687	47126			-8647	11086	2439	-2439
12-11-96	201378	9174	18413	1774	143477	132229	154425	152416	46953	48962			-9239	11248	2009	-2009
19-11-96	212469	9314	20175	2551	150913	138892	162778	161618	49691	50851			-10861	12021	1160	-1160
26-11-96	223275	9149	14947	1283	159289	155391	169721	171621	53554	51654			-5798	3898	-1900	1900
03-12-96	225408	10086	12643	1614	156596	157675	168296	171932	57112	53476			-2557	-1079	-3636	3636
10-12-96	227358	8708	11664	1603	156421	158550	166732	171817	60626	55541			-2956	-2129	-5085	5085
17-12-96	252502	10245	12861	2451	174254	172488	186950	187800	65552	64702			-2616	1766	-850	850
24-12-96	189483	6962	12066	0	142980	137921	149942	149987	39541	39496			-5104	5059	-45	45
31-12-96	189266	8123	12260	0	141812	136138	149935	148398	39331	40868			-4137	5674	1537	-1537
07-01-97	195119	6334	15020	353	142904	134246	149591	149619	45528	45500			-8686	8658	-28	28
14-01-97	198573	9100	13160	1300	141170	137413	151570	151873	47003	46700			-4060	3757	-303	303
21-01-97	198695	9393	15555	761	140442	139758	150596	156074	48099	42621			-6162	684	-5478	5478
28-01-97	194828	5857	16109	897	138909	132423	145663	149429	49165	45399			-10252	6486	-3766	3766
04-02-97	191110	6352	15080	1144	136425	131468	143921	147692	47189	43418			-8728	4957	-3771	3771
11-02-97	192838	5594	18941	1231	138112	129383	144937	149555	47901	43283			-13347	8729	-4618	4618
18-02-97	200877	7016	19448	1489	140933	136142	149438	157079	51439	43798			-12432	4791	-7641	7641
25-02-97	202570	6972	19679	2267	141466	134970	150705	156916	51865	45654			-12707	6496	-6211	6211
04-03-97	204656	7956	16471	1934	140289	134924	150179	153329	54477	51327			-8515	5365	-3150	3150
11-03-97	206577	8254	18336	1760	136652	133503	146666	153599	59911	52978			-10082	3149	-6933	6933
18-03-97	223776	10301	17455	5166	144986	137623	160453	160244	63323	63532			-7154	7363	209	-209
25-03-97	184489	8971	17956	728	130553	121532	140252	140216	44237	44273			-8985	9021	36	-36
01-04-97	181330	8473	18930	735	126035	115542	135243	135207	46087	46123			-10457	10493	36	-36
08-04-97	186698	5916	16206	818	134098	121677	140832	138701	45866	47997			-10290	12421	2131	-2131
15-04-97	190375	6528	21233	1699	135567	116793	143794	139725	46581	50650			-14705	18774	4069	-4069
22-04-97	192020	7181	12956	1848	136822	128454	145851	143258	46169	48762			-5775	8368	2593	-2593
29-04-97	191550	6877	15175	1976	137685	128572	146538	145723	45012	45827			-8298	9113	815	-815
06-05-97	197295	7675	15488	1610	140114	134758	149399	151856	47896	45439			-7813	5356	-2457	2457
13-05-97	197025	7826	16841	1005	141791	136523	150622	154369	46403	42656			-9015	5268	-3747	3747
20-05-97	196949	6672	16023	2061	137986	133909	146719	151993	50230	44956			-9351	4077	-5274	5274
27-05-97	193860	8373	17537	1866	134350	129217	144589	148620	49271	45240			-9164	5133	-4031	4031
03-06-97	199467	8945	16658	3549	135738	135236	148232	155443	51235	44024			-7713	502	-7211	7211
10-06-97	208652	9078	17116	4440	142132	138613	155650	160169	53002	48483			-8038	3519	-4519	4519
17-06-97	235177	12268	14333	4141	157762	163589	174171	182063	61006	53114			-2065	-5827	-7892	7892
24-06-97	178377	4853	19704	694	130494	121474	136041	141872	42336	36505			-14851	9020	-5831	5831
01-07-97	180009	7055	13457	445	130111	129685	137611	143587	42398	36422			-6402	426	-5976	5976
08-07-97	184397	8166	13776	648	129630	135167	138444	149591	45953	34806			-5610	-5537	-11147	11147
15-07-97	188089	9964	15609	206	133613	137385	143783	153200	44306	34889			-5645	-3772	-9417	9417
22-07-97	184127	9460	13922	536	130522	132624	140518	147082	43609	37045			-4462	-2102	-6564	6564
29-07-97	185605	9600	13997	207	129353	135085	139160	149289	46445	36316			-4397	-5732	-10129	10129
05-08-97	186512	8238	14627	449	128923	131320	137610	146396	48902	40116			-6389	-2397	-8786	8786
12-08-97	196658	9306	15348	284	135724	134807	145314	150439	51344	46219			-6042	917	-5125	5125
19-08-97	196331	8860	18696	332	136287	132874	145479	151902	50852	44429			-9836	3413	-6423	6423
26-08-97	202244	7830	18672	965	140697	139008	149492	158645	52752	43599			-10842	1689	-9153	9153
02-09-97	207981	7901	17620	1081	144056	144185	153038	162886	54943	45095			-9719	-129	-9848	9848
09-09-97	211551	7583	16354	887	141404	145827	149874	163068	61677	48483			-8771	-4423	-13194	13194
16-09-97	231740	10050	24079	1149	158608	153693	169807	178921	61933	52819			-14029	4915	-9114	9114
23-09-97	190588	7596	16992	311	138969	140351	146876	157654	43712	32934			-9396	-1382	-10778	10778
30-09-97	188294	5584	11977	210	138128	141865	143922	154052	44372	34242			-6393	-3737	-10130	10130
07-10-97	194165	7892	11699	3	139933	146826	147828	158528	46337	35637			-3807	-6893	-10700	10700
14-10-97	194118	7673	12953	576	139055	143233	147304	156762	46814	37356			-5280	-4178	-9458	9458
21-10-97	197204	8358	14548	691	139989	143082	149038	158321	48166	38883			-6190	-3093	-9283	9283
28-10-97	205898	7907	18439	240	141441	134595	149588	153274	56310	52624			-10532	6846	-3686	3686
04-11-97	401572	13961	40426	874	281188	266399	296023	307699	105549	93873			-26465	14789	-11676	11676
11-11-97	398632	17802	41741	108	284204	263910	302114	305759	96518	92873			-23939	20294	-3645	3645
18-11-97	398679	18202	45579	1004	281277	261269	300483	307852	98196	90827			-27377	20008	-7369	7369
25-11-97	403246	17997	34210	1536	283547	278049	303080	313795	100166	89451			-16213	5498	-10715	10715
02-12-97	414272	18048	36484	1851	277924	282685	297823	321020	116449	93252			-18436	-4761	-23197	23197
09-12-97	418633	19784	38480	1653	286361	284614	307798	324747	110835	93886			-18696	1747	-16949	16949
16-12-97	458736	16166	34493	4211	314377	313598	334754	352302	123982	106434			-18327	779	-17548	17548
19-12-97	470542	20181	34710	4101	332779	325996	357061	364807	113481	105735			-14529	6783	-7746	7746
23-12-97	366194	16642	21804	1863	262667	270291	281172	293958	85022	72236			-5162	-7624	-12786	12786
30-12-97	371846	18309	22872	1143	262896	268843	282348	292858	89498	78988			-4563	-5947	-10510	10510
06-01-98	379522	18754	22353	279	273018	272544	292051	295176	87471	84346			-3599	474	-3125	3125
13-01-98	397841	17015	25160	948	283032	278475	300995	304583	96846	93258			-8145	4557	-3588	3588
20-01-98	399750	19077	22703	687	285933	288194	305697	311584	94053	88166			-3626	-2261	-5887	5887
27-01-98	403779	19209	25715	229	286013	287001	305451	312945	98328	90834			-6506	-988	-7494	7494
03-02-98	411700	23405	23909	1114	281737	288568	306256	313591	105444	98109			-504	-6831	-7335	7335
10-02-98	409381	19301	27668	357	285647	286987	305305	315012	104076	94369			-8367	-1340	-9707	9707
17-02-98	408475	18076	34472	398	289818	286939	308292	321809	100183	86666			-16396	2879	-13517	13517
24-02-98	404535	20882	37745	424	280821	270614	302127	308783	102408	95752			-16863	10207	-6656	6656
03-03-98	410553	24771	39206	2169	275814	274727	302754	316102	107799	94451			-14435	1087	-13348	13348
10-03-98	422331	23519	32927	933	282849	285854	307301	319714	115030	102617			-9408	-3005	-12413	12413
17-03-98	447906	25604	31144	280	296149	304194	322033	335618	125873	112288			-5540	-8045	-13585	13585
24-03-98	366459	20232	19226	0	254647	267819	274879	287045	91580	79414			1006	-13172	-12166	12166
31-03-98	367421	20105	19782	88	249142	263325	269335	283195	98086	84226			323	-14183	-13860	13860
07-04-98	360398	23202	20819	74	244829	260393	268105	281286	92293	79112			2383	-15564	-13181	13181
14-04-98	365026	18330	25503	725	249841	261645	268896	287873	96130	77153			-7173	-11804	-18977	18977
21-04-98	359920	18770	27998	364	245853	247209	264987	275571	94933	84349			-9228	-1356	-10584	10584
28-04-98	370346	23743	27373	1115	249077	244866	273935	273354	96411	96992			-3630	4211	581	-581
05-05-98	358539	23962	29205	1130	234829	239658	259921	269993	98618	88546			-5243	-4829	-10072	10072
12-05-98	365720	25148	35996	494	245724	235492	271366	271982	94354	93738			-10848	10232	-616	616
19-05-98	371291	24760	37278	1132	247998	241431	273890	279841	97401	91450			-12518	6567	-5951	5951
26-05-98	389253	24389	41227	1018	260206	250456	285613	292701	103640	96552			-16838	9750	-7088	7088
02-06-98	411088	25540	44089	3041	267113	262495	295694	309625	115394	101463			-18549	4618	-13931	13931
09-06-98	418476	25762	45489	1873	264572	259744	292207	307106	126269	111370			-19727	4828	-14899	14899
16-06-98	457513	24403	37800	3670	302027	291366	330100	332836	127413	124677			-13397	10661	-2736	2736
23-06-98	357954	15543	22045	1064	254707	258482	271314	281591	86640	76363			-6502	-3775	-10277	10277
30-06-98	366574	13824	22639	1163	256265	263270	271252	287072	95322	79502			-8815	-7005	-15820	15820
07-07-98	368983	16444	21432	1108	257252	266195	274804	288735	94179	80248			-4988	-8943	-13931	13931
14-07-98	369461	15411	24677	0	253230	261445	268641	286122	100820	83339			-9266	-8215	-17481	17481
21-07-98	367717	15034	25749	1231	252931	254961	269196	281941	98521	85776			-10715	-2030	-12745	12745
28-07-98	376833	14045	26717	1399	257641	259062	273085	287178	103748	89655			-12672	-1421	-14093	14093
04-08-98	386457	18837	33252	1243	255468	249586	275548	284081	110909	102376			-14415	5882	-8533	8533
11-08-98	374900	14215	36749	1022	259417	236424	274654	274195	100246	100705			-22534	22993	459	-459
18-08-98	378567	12300	34148	441	263845	242173	276586	276762	101981	101805			-21848	21672	-176	176
25-08-98	393034	14855	35854	1180	280302	257485	296337	294519	96697	98515			-20999	22817	1818	-1818
01-09-98	428218	15010	37473	2508	277945	270527	295463	310508	132755	117710			-22463	7418	-15045	15045
08-09-98	445980	13883	44837	3818	289497	274539	307198	323194	138782	122786			-30954	14958	-15996	15996
15-09-98	468127	15257	45476	6186	306235	282542	327678	334204	140449	133923			-30219	23693	-6526	6526
22-09-98	388819	11344	40379	328	289053	254562	300725	295269	88094	93550			-29035	34491	5456	-5456
29-09-98	393912	10543	40124	589	293972	263403	305104	304116	88808	89796			-29581	30569	988	-988
06-10-98	396974	11435	38462	603	295120	264321	307158	303386	89816	93588			-27027	30799	3772	-3772
13-10-98	403575	12406	34337	438	296974	276124	309818	310899	93757	92676			-21931	20850	-1081	1081
20-10-98	411389	11353	33387	496	305502	288239	317351	322122	94038	89267			-22034	17263	-4771	4771
27-10-98	404471	12000	33368	384	296784	280640	309168	314392	95303	90079			-21368	16144	-5224	5224
03-11-98	403269	10259	40757	469	294017	279145	304745	320371	98524	82898			-30498	14872	-15626	15626
10-11-98	426668	12313	41043	2667	307294	298101	322274	341811	104394	84857			-28730	9193	-19537	19537
17-11-98	426505	14671	38439	1722	306739	304571	323132	344732	103373	81773			-23768	2168	-21600	21600
24-11-98	431781	13407	37036	2631	311545	309994	327583	349661	104198	82120			-23629	1551	-22078	22078
01-12-98	435981	14199	41590	1958	312988	309392	329145	352940	106836	83041			-27391	3596	-23795	23795
08-12-98	451012	13745	35501	2478	320056	319956	336279	357935	114733	93077			-21756	100	-21656	21656
15-12-98	473241	13452	41063	1748	330939	331956	346139	374767	127102	98474			-27611	-1017	-28628	28628
22-12-98	378028	13157	31139	704	283099	277210	296960	309053	81068	68975			-17982	5889	-12093	12093
29-12-98	381793	14528	33921	887	283020	275756	298435	310564	83358	71229			-19393	7264	-12129	12129
05-01-99	392631	15290	31965	1350	285184	285586	301824	318901	90807	73730			-16675	-402	-17077	17077
12-01-99	398442	15958	35720	1731	290560	286709	308249	324160	90193	74282			-19762	3851	-15911	15911
19-01-99	400347	15535	31547	1315	293367	292132	310217	324994	90130	75353			-16012	1235	-14777	14777
26-01-99	402925	15295	30004	1207	296141	300132	312643	331343	90282	71582			-14709	-3991	-18700	18700
02-02-99	405689	15374	31950	1130	293433	292405	309937	325485	95752	80204			-16576	1028	-15548	15548
09-02-99	406455	16414	36782	1154	297985	287982	315553	325918	90902	80537			-20368	10003	-10365	10365
16-02-99	404415	15972	35566	1032	296990	289881	313994	326479	90421	77936			-19594	7109	-12485	12485
23-02-99	407024	15320	32972	3138	289660	290208	308118	326318	98906	80706			-17652	-548	-18200	18200
02-03-99	408428	14838	38305	387	284171	281750	299396	320442	109032	87986			-23467	2421	-21046	21046
09-03-99	417000	14531	33943	1979	284999	291980	301509	327902	115491	89098			-19412	-6981	-26393	26393
16-03-99	443171	15260	37254	2923	302236	306726	320419	346903	122752	96268			-21994	-4490	-26484	26484
23-03-99	372495	18759	41403	292	269836	254922	288887	296617	83608	75878			-22644	14914	-7730	7730
30-03-99	373914	19502	38729	351	270460	260358	290313	299438	83601	74476			-19227	10102	-9125	9125
06-04-99	378102	21313	42411	830	271047	258377	293190	301618	84912	76484			-21098	12670	-8428	8428
13-04-99	378897	23860	43849	883	271405	259626	296148	304358	82749	74539			-19989	11779	-8210	8210
20-04-99	384199	24286	38857	749	272938	272175	297973	311781	86226	72418			-14571	763	-13808	13808
27-04-99	384293	26335	40470	665	275683	267988	302683	309123	81610	75170			-14135	7695	-6440	6440
04-05-99	388878	22016	41073	9	281247	270652	303272	311734	85606	77144			-19057	10595	-8462	8462
11-05-99	390310	23627	42945	47	277423	265031	301097	308023	89213	82287			-19318	12392	-6926	6926
18-05-99	384204	21978	44044	820	272283	255994	295081	300858	89123	83346			-22066	16289	-5777	5777
25-05-99	401220	20122	48473	1536	277304	269903	298962	319912	102258	81308			-28351	7401	-20950	20950
01-06-99	402136	17400	55609	3072	275415	255577	295887	314258	106249	87878			-38209	19838	-18371	18371
08-06-99	402029	14987	50472	3292	279758	258176	298037	311940	103992	90089			-35485	21582	-13903	13903
15-06-99	425954	14946	50213	5178	289573	274675	309697	330066	116257	95888			-35267	14898	-20369	20369
22-06-99	360826	15325	26452	2202	261353	259126	278880	287780	81946	73046			-11127	2227	-8900	8900
29-06-99	370434	14734	26711	3012	267842	269832	285588	299555	84846	70879			-11977	-1990	-13967	13967
