Dates	Open Interest (All)	Noncommercial Positions-Long (All)	Noncommercial Positions-Short (All)	Noncommercial Positions-Spreading (All)	Commercial Positions-Long (All)	Commercial Positions-Short (All)	 Total Reportable Positions-Long (All)	Total Reportable Positions-Short (All)	Nonreportable Positions-Long (All)	Nonreportable Positions-Short (All)			NCMNET	COMNET	TOTNET	NONNET
06-07-99	367233	19140	24353	3079	262161	264487	284380	291919	82853	75314			-5213	-2326	-7539	7539
13-07-99	372321	18049	28617	3174	265905	266784	287128	298575	85193	73746			-10568	-879	-11447	11447
20-07-99	373826	16870	31022	2982	268366	264506	288218	298510	85608	75316			-14152	3860	-10292	10292
27-07-99	375522	17810	36222	2948	266994	263538	287752	302708	87770	72814			-18412	3456	-14956	14956
03-08-99	379881	15602	44330	2122	273048	256669	290772	303121	89109	76760			-28728	16379	-12349	12349
10-08-99	384794	15225	49287	1967	279640	252191	296832	303445	87962	81349			-34062	27449	-6613	6613
17-08-99	387664	15377	46182	3126	283562	258996	302065	308304	85599	79360			-30805	24566	-6239	6239
24-08-99	387006	16155	43559	2753	281715	259369	300623	305681	86383	81325			-27404	22346	-5058	5058
31-08-99	399117	20148	51224	2591	277945	264085	300684	317900	98433	81217			-31076	13860	-17216	17216
07-09-99	403564	18629	46172	4664	276674	273046	299967	323882	103597	79682			-27543	3628	-23915	23915
14-09-99	439281	24629	42959	9712	290492	284457	324833	337128	114448	102153			-18330	6035	-12295	12295
21-09-99	375983	26594	52440	3072	263858	247094	293524	302606	82459	73377			-25846	16764	-9082	9082
28-09-99	383908	23732	57667	3034	268412	242520	295178	303221	88730	80687			-33935	25892	-8043	8043
05-10-99	389414	25046	61861	3378	276107	243219	304531	308458	84883	80956			-36815	32888	-3927	3927
12-10-99	385621	22736	53550	2965	278074	246443	303775	302958	81846	82663			-30814	31631	817	-817
19-10-99	396530	22883	61401	3997	284553	245736	311433	311134	85097	85396			-38518	38817	299	-299
26-10-99	399356	22550	54836	4061	285516	259379	312127	318276	87229	81080			-32286	26137	-6149	6149
02-11-99	404660	29799	45951	4613	282127	277105	316539	327669	88121	76991			-16152	5022	-11130	11130
09-11-99	400457	30529	47175	4329	274633	276494	309491	327998	90966	72459			-16646	-1861	-18507	18507
16-11-99	409153	32251	45175	4463	279523	281850	316237	331488	92916	77665			-12924	-2327	-15251	15251
23-11-99	416745	31048	45740	4467	277372	277003	312887	327210	103858	89535			-14692	369	-14323	14323
30-11-99	420286	29880	54870	4722	272547	268614	307149	328206	113137	92080			-24990	3933	-21057	21057
07-12-99	425189	19461	23821	4367	281368	302980	305196	331168	119993	94021			-4360	-21612	-25972	25972
14-12-99	452627	20080	26591	2374	303361	320678	325815	349643	126812	102984			-6511	-17317	-23828	23828
21-12-99	371480	19714	31529	783	271318	272717	291815	305029	79665	66451			-11815	-1399	-13214	13214
28-12-99	374201	20551	31783	1356	271597	277277	293504	310416	80697	63785			-11232	-5680	-16912	16912
04-01-00	370953	16926	34885	1397	266699	269186	285022	305468	85931	65485			-17959	-2487	-20446	20446
11-01-00	371912	15315	31808	1566	271289	274674	288170	308048	83742	63864			-16493	-3385	-19878	19878
18-01-00	368074	12398	34709	2385	267932	268500	282715	305594	85359	62480			-22311	-568	-22879	22879
25-01-00	369656	11053	37853	1645	268062	263927	280760	303425	88896	66231			-26800	4135	-22665	22665
01-02-00	369467	11796	42658	1634	272673	266150	286103	310442	83364	59025			-30862	6523	-24339	24339
08-02-00	365383	8980	34613	1693	268922	263652	279595	299958	85788	65425			-25633	5270	-20363	20363
15-02-00	370669	11700	35223	2093	262380	263606	276173	300922	94496	69747			-23523	-1226	-24749	24749
22-02-00	388463	10489	37894	1796	277881	276504	290166	316194	98297	72269			-27405	1377	-26028	26028
29-02-00	388445	12303	42643	2507	278066	271548	292876	316698	95569	71747			-30340	6518	-23822	23822
07-03-00	420908	14525	45116	2801	285057	281980	302383	329897	118525	91011			-30591	3077	-27514	27514
14-03-00	445708	13563	44930	5011	311334	296473	329908	346414	115800	99294			-31367	14861	-16506	16506
21-03-00	365808	15122	36471	716	270951	257759	286789	294946	79019	70862			-21349	13192	-8157	8157
28-03-00	365131	15960	31407	707	267992	265557	284659	297671	80472	67460			-15447	2435	-13012	13012
04-04-00	376328	18603	31427	1057	275761	277011	295421	309495	80907	66833			-12824	-1250	-14074	14074
11-04-00	378753	17780	28283	1057	279247	284726	298084	314066	80669	64687			-10503	-5479	-15982	15982
18-04-00	382184	15357	30933	678	281728	285418	297763	317029	84421	65155			-15576	-3690	-19266	19266
25-04-00	384918	14548	30499	937	285780	284256	301265	315692	83653	69226			-15951	1524	-14427	14427
02-05-00	379878	16497	31178	1047	282636	278678	300180	310903	79698	68975			-14681	3958	-10723	10723
09-05-00	377241	17560	23439	1095	281467	280893	300122	305427	77119	71814			-5879	574	-5305	5305
16-05-00	378636	18943	15876	901	268714	281607	288558	298384	90078	80252			3067	-12893	-9826	9826
23-05-00	385695	18895	13043	600	265483	292386	284978	306029	100717	79666			5852	-26903	-21051	21051
30-05-00	393997	16418	15120	510	265811	303541	282739	319171	111258	74826			1298	-37730	-36432	36432
06-06-00	408788	19627	18686	968	271572	309300	292167	328954	116621	79834			941	-37728	-36787	36787
13-06-00	448830	19139	18952	2109	287698	327503	308946	348564	139884	100266			187	-39805	-39618	39618
20-06-00	373547	21124	14830	832	254313	292886	276269	308548	97278	64999			6294	-38573	-32279	32279
27-06-00	376244	19731	12826	913	256015	297773	276659	311512	99585	64732			6905	-41758	-34853	34853
05-07-00	373139	17526	11081	1329	253011	296404	271866	308814	101273	64325			6445	-43393	-36948	36948
11-07-00	375095	17615	10251	1173	254696	298968	273484	310392	101611	64703			7364	-44272	-36908	36908
18-07-00	377681	20848	10797	1287	255055	298575	277190	310659	100491	67022			10051	-43520	-33469	33469
25-07-00	387456	25332	12746	1686	255483	308734	282501	323166	104955	64290			12586	-53251	-40665	40665
01-08-00	384887	17614	12652	2603	259457	310149	279674	325404	105213	59483			4962	-50692	-45730	45730
08-08-00	385401	19836	13040	1877	256138	307858	277851	322775	107550	62626			6796	-51720	-44924	44924
15-08-00	389506	19351	12810	2602	258947	311951	280900	327363	108606	62143			6541	-53004	-46463	46463
22-08-00	389401	15681	12724	2859	259259	307205	277799	322788	111602	66613			2957	-47946	-44989	44989
29-08-00	404146	17125	14100	2690	261218	314311	281033	331101	123113	73045			3025	-53093	-50068	50068
05-09-00	418683	19401	13230	3247	265331	317516	287979	333993	130704	84690			6171	-52185	-46014	46014
12-09-00	461470	15592	11153	4996	293292	351081	313880	367230	147590	94240			4439	-57789	-53350	53350
19-09-00	382300	18298	6757	2686	254905	315289	275889	324732	106411	57568			11541	-60384	-48843	48843
26-09-00	389035	19113	7208	3174	258926	294382	281213	304764	107822	84271			11905	-35456	-23551	23551
03-10-00	397133	15304	7691	2812	267566	325456	285682	335959	111451	61174			7613	-57890	-50277	50277
10-10-00	407099	17741	11994	3569	271090	330383	292400	345946	114699	61153			5747	-59293	-53546	53546
